ID,PHRASE,IMPORTANT++,BONNE REPONSE
17,La qualité c'est sans compromis !,OUI,❤
18,Les tisanes au houblon,NON,❤
19,"Etre agile, ce n'est pas faire le grand écart.",OUI,❤
20,Ma méthode de projet préférée ? Le cycle en V.,OUI,❌
21,Le pair programming c'est une perte de temps.,OUI,❌
22,Tester c'est douter !,OUI,❌
23,Mobile first !,NON,❤
24,Design system !,OUI,❤
25,Oui à l'UI as Code !,OUI,❤
26,Automatiser les tests fonctionnels.,OUI,❤
27,La programmation fonctionnelle !,NON,❤
28,Le numérique responsable (GreenIT) !,NON,❤
29,En route pour Devoxx !,NON,❤
30,Une estimation est avant tout précise.,OUI,❌
31,Expert après un Hello World.,NON,❌
32,J'aime que mon code soit SOLID.,OUI,❤
33,"« Espaces ou tabulations », c'est fondamental.",NON,❌
34,"100% de couverture de code, sinon rien.",OUI,❌
35,"L'équipe ? Pas important, j'avance seul(e).",OUI,❌
36,"""Tu as fait un ticket ?""",NON,❌
37,Le nouvel équipier est en difficulté ? Je vais aller pairer avec lui. ,OUI,❤
38,J'allume mes serveurs seulement quand c'est nécessaire.,OUI,❤
39,La revue de code est un défouloir.,OUI,❌
40,Partage de la connaissance !,OUI,❤
41,Je ne fais jamais de refactoring.,OUI,❌
42,Commenter tout mon code.,OUI,❌
43,Un POC validé peut partir en prod.,OUI,❌
44,Vim c'est sublime !,NON,❤
45,"J'ai un rhume, je viens quand même c'est rien.",NON,❌
46,Je prends sur mon temps de travail pour faire de la veille techno,OUI,❤
47,Toujours partant pour un after work !,NON,❤
48,Mon métier ? DevOps.,OUI,❌
49,Mon infra ? C'est du code aussi !,OUI,❤
50,On se fait un petit boardgame à la pause du midi ?,NON,❤
51,Communiquer au sein de son équipe et avec le métier.,OUI,❤
52,Prendre les décisions collectivement.,OUI,❤
53,"Je suis une star, je prends les bonnes décisions moi-même.",NON,❌
54,Les rétrospectives ça ne sert qu'à râler.,OUI,❌
55,Ah ! J'ai trouvé ! Mais je le garde pour moi...,OUI,❌
56,"Le Cloud je n'y ai jamais cru, de toute façon ce sont les GAFAM...",OUI,❌
57,Les meetups sont une perte de temps.,NON,❌
58,Pas besoin de notions d'Ops pour faire une bonne application.,OUI,❌
59,Seules les écoles d'ingénieur font de bons tech.,OUI,❌
60,"Partager avec la communauté, pourquoi faire ?",OUI,❌
61,J'attends de voir les avantages pour moi avant de contribuer à quelque chose.,OUI,❌
62,Un feedback négatif est toujours utile.,OUI,❤
63,"Le remote c'est bien, au moins on est tranquille tout seul dans son coin.",NON,❌
64,La sécurité c'est qu'une affaire d'experts.,OUI,❌
65,Vive les dark modes !,NON,❤
66,Jenkins c'est trop cool !,NON,❌
67,PHP c'est le meilleur langage du monde !,NON,❌
68,"Les conteneurs, c'est Docker ou rien.",NON,❌
69,Le dress code c'est primordial.,NON,❌
70,"Le plus important, c'est mon TJM.",OUI,❌
71,Mettre des techno beta en prod ? Même pas peur !,OUI,❤
72,"Plus un code est commenté, mieux c'est !",OUI,❌
73,"Le ""no code"" c'est le futur du dev'.",OUI,❌
74,Ce qui est bien avec Jenkins c'est qu'on peut tout faire en click bouton.,OUI,❌
75,Mon manager ? C'est le Tech Lead sur mon projet qui me dit quoi faire.,OUI,❌
76,Le Deep Learning c'est juste pour la R&D.,OUI,❌
77,"Le Data Scientist aussi, il code ! Il ne fait pas que des stats !",OUI,❤
78,J'hésite pas à dire non à mon commercial,OUI,❤
79,J'implique les fonctions transverses qui ont leur place dans les projets internes même si c'est pas leur boulot.,OUI,❤
80,"J'adore faire de la patisserie, j'en fais souvent à mes collègues.",NON,❤
81,Utiliser que des technos hype c'est la base !,NON,❌
82,"La hype oui, mais je teste avant de la suivre.",OUI,❤
83,Avoir une spec complète au premier jour du projet.,OUI,❌
84,Java c'est mort !,OUI,❌
85,Quelque soit le métier finalement c'est du code.,OUI,❌
86,J'aime avoir raison.,OUI,❌
87,J'aime être challengé(e).,OUI,❤
88,J'aime challenger les autres.,OUI,❤
89,Je pense qu'il est important d'avoir réponse à tout.,NON,❌
90,Un micro service sinon rien !,NON,❌
92,Exposer mon travail à la critique.,OUI,❤
93,"Savoir dire ""je ne sais pas"".",OUI,❤
94,"""ça fonctionne sur ma machine"".",OUI,❌
95,"""Là y'a une erreur mais c'est normal.""",OUI,❌
96,DDD,OUI,❤
97,Je préfère réécrire le code à ma façon.,OUI,❌
98,Coder c'est douter.,NON,❤
99,C'est du code crade mais c'est temporaire.,OUI,❌
100,Je préfère des solutions que je connais déjà.,OUI,❌
102,Dans le doute ne modifie rien.,OUI,❌
103,Refactoriser c'est bien seulement si on a le temps.,OUI,❌
